Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
C3orf62	"FLJ43654, MAPS"	ENSG00000188315	"Chromosome 3 open reading frame 62"	Q6ZUJ4	3	49268596-49277232	"Predicted intracellular proteins"	"Differentiation, Spermatogenesis"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Spermatocytes: 39.6"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in many"	8	"neutrophil: 40.1"	"Lineage enriched"	"Detected in many"	8	"granulocytes: 40.1"	"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA043328			Approved	"Nuclear speckles"			NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 78: Testis - Transcription"	"Cluster 4: Non-specific - mRNA splicing & Cell cycle"	"Cluster 8: Non-specific - Basic cellular processes"	"Cluster 31: Spermatocytes - Spermatogenesis"	14	"Nuclear speckles"		"HPA043328: AB_10795613"	"unprognostic (2.62e-2)"	"unprognostic (6.35e-2)"	"unprognostic (1.37e-1)"	"unprognostic (3.33e-1)"	"unprognostic (2.76e-2)"	"unprognostic (6.17e-2)"	"unprognostic (8.26e-2)"	"unprognostic (4.42e-2)"	"unprognostic (5.45e-3)"	"unprognostic (9.15e-3)"	"unprognostic (5.30e-2)"	"unprognostic (2.02e-1)"	"unprognostic (2.73e-1)"	"unprognostic (2.37e-3)"	"unprognostic (4.61e-2)"	"unprognostic (7.20e-3)"	"unprognostic (3.03e-1)"	"unprognostic (7.50e-2)"	"unprognostic (1.91e-2)"	"unprognostic (9.14e-2)"	"unprognostic (1.24e-1)"	"potential prognostic favorable (7.27e-5)"	"unprognostic (9.05e-2)"	"unprognostic (1.13e-1)"	"unprognostic (1.88e-2)"	"unprognostic (1.89e-2)"	"unprognostic (3.72e-1)"	"unprognostic (7.40e-3)"	"unprognostic (1.68e-1)"	"unprognostic (1.52e-2)"	"unprognostic (2.64e-2)"
CA4	"CAIV, Car4, RP17"	ENSG00000167434	"Carbonic anhydrase 4"	P22748	17	60149942-60170899	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"		Lyase	"Disease variant, FDA approved drug targets, Retinitis pigmentosa"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 254.9"	"Cell type enriched"	"Detected in many"	5	"Paneth cells: 4309.8"	"Group enriched"	"Detected in many"	4	"endothelial cell: 253.1;pericyte: 330.1;upper rhombic lip: 89.9"	"Cancer enhanced"	"Detected in many"		"Rectum Adenocarcinoma (TCGA): 30.9"	"Region enriched"	"Detected in all"	5	"cerebellum: 173.8"	"Immune cell enriched"	"Detected in some"	7	"neutrophil: 100.0"	"Lineage enriched"	"Detected in single"	1000	"granulocytes: 100.0"	"Cancer enhanced"	"Detected in some"		"Brain cancer: 4.3;liver cancer: 7.8;prostate cancer: 7.4"	"Adipose visceral - Endothelial cells, Colon - Colon enterocytes, Spleen - Neutrophils"	"Region enriched"	"Detected in all"	5	"cerebellum: 300.3"	"Low region specificity"	"Detected in all"			"HPA011089, HPA017258"	Enhanced		Uncertain	Vesicles,Cytosol			NA	NA		150000	"Cluster 21: Neutrophils - Unknown function"	"Cluster 80: Non-specific - Endocytosis"	"Cluster 35: Non-specific - DNA binding"	"Cluster 1: Neuronal - Visual perception"	"Cluster 5: Enterocytes - Absorption"	4	Cytosol	Vesicles	"HPA011089: AB_1845996, HPA017258: AB_1845997"	"unprognostic (4.04e-3)"		"potential prognostic favorable (1.95e-4)"		"unprognostic (3.16e-2)"	"unprognostic (7.94e-2)"	"unprognostic (2.74e-1)"	"unprognostic (2.33e-1)"		"unprognostic (5.41e-2)"	"validated prognostic favorable (8.52e-7)"	"validated prognostic favorable (2.35e-4)"	"unprognostic (2.59e-1)"	"unprognostic (5.35e-2)"		"unprognostic (1.20e-3)"	"unprognostic (1.00e-2)"	"unprognostic (6.95e-2)"	"unprognostic (2.71e-1)"	"unprognostic (2.93e-2)"		"unprognostic (2.16e-1)"		"unprognostic (2.92e-2)"	"unprognostic (1.00e-1)"	"unprognostic (2.37e-1)"		"unprognostic (3.67e-2)"	"unprognostic (2.05e-1)"	"unprognostic (2.45e-1)"	"unprognostic (1.98e-2)"
CALD1	"CDM, H-CAD, h-CD, L-CAD"	ENSG00000122786	"Caldesmon 1"	Q05682	7	134744252-134970729	"Plasma proteins, Predicted intracellular proteins"		"Actin-binding, Calmodulin-binding, Muscle protein"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"intestine: 885.1"	"Cell type enhanced"	"Detected in many"		"Endometrial stromal cells: 1247.3;Leydig cells: 1778.1;Ovarian stromal cells: 1477.5;Peritubular cells: 2020.0;Sertoli cells: 1191.2;Smooth muscle cells: 2430.8"	"Group enriched"	"Detected in all"	5	"pericyte: 1943.5;vascular associated smooth muscle cell: 2377.0"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	8	"neutrophil: 1.9"	"Lineage enriched"	"Detected in single"	8	"granulocytes: 1.9"	"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Smooth muscle cells, Adrenal gland - Fibroblasts, Colon - Smooth muscle cells, Kidney - Fibroblasts, Lung - Smooth muscle cells, Prostate - Smooth muscle cells, Spleen - Fibroblast_2"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB000006, HPA008066, HPA017330"	Enhanced		Enhanced	"Plasma membrane,Actin filaments"			Yes	No		45000000	"Cluster 4: Neutrophils - Degranulation"	"Cluster 41: Smooth muscle tissue - ECM organization"	"Cluster 42: Choroid plexus - Mitochondria"	"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 32: Smooth muscle cells - Muscle contraction"	106	"Plasma membrane, Actin filaments"		"CAB000006: AB_2065456, HPA008066: AB_1078378, HPA017330: AB_1845917"	"unprognostic (3.34e-2)"	"unprognostic (1.63e-1)"	"unprognostic (1.72e-1)"	"unprognostic (1.82e-2)"	"unprognostic (2.38e-3)"	"unprognostic (8.10e-2)"	"unprognostic (1.33e-1)"	"potential prognostic unfavorable (3.64e-4)"	"unprognostic (1.29e-1)"	"potential prognostic unfavorable (2.70e-4)"	"potential prognostic favorable (1.21e-6)"	"unprognostic (3.57e-2)"	"unprognostic (4.66e-2)"	"unprognostic (1.29e-1)"	"unprognostic (1.33e-1)"	"unprognostic (4.32e-2)"	"unprognostic (5.50e-2)"	"unprognostic (1.58e-2)"	"unprognostic (4.28e-2)"	"unprognostic (2.44e-2)"	"potential prognostic unfavorable (1.30e-5)"	"unprognostic (7.91e-2)"	"unprognostic (2.62e-1)"	"unprognostic (5.27e-2)"	"unprognostic (3.23e-2)"	"unprognostic (1.16e-2)"	"unprognostic (2.50e-2)"	"unprognostic (1.48e-3)"	"unprognostic (1.33e-1)"	"unprognostic (8.81e-2)"	"unprognostic (5.10e-2)"
CD177	"HNA2A, NB1, PRV1"	ENSG00000204936	"CD177 molecule"		19	43353686-43363172	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"			"Tissue enhanced"	"Detected in many"		"bone marrow: 283.3;intestine: 159.6"	"Cell type enriched"	"Detected in some"	5	"Distal enterocytes: 357.0"	"Cell type enriched"	"Detected in single"	46	"fibroblast: 22.8"	"Cancer enhanced"	"Detected in many"		"Prostate Adenocarcinoma (TCGA): 52.2"	"Region enhanced"	"Detected in many"		"cerebral cortex: 17.6"	"Immune cell enriched"	"Detected in some"	7	"neutrophil: 8.8"	"Lineage enriched"	"Detected in many"	7	"granulocytes: 8.8"	"Cancer enriched"	"Detected in many"	20	"Rhabdoid: 55.5"	"Adipose visceral - Neutrophils, Heart muscle - Neutrophils, Liver - Neutrophils, Lung - Neutrophil_2, Prostate - Prostate glandular cells, Skeletal muscle - Neutrophils, Spleen - Neutrophils, Stomach - Neutrophils, Thyroid gland - Neutrophils"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA041820, HPA046601, HPA077640"	Enhanced				"Intracellular and membrane"		NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 77: Bone marrow - Cell proliferation"	"Cluster 12: Non-specific - Vasculature"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 5: Enterocytes - Absorption"				"HPA041820: AB_2677691, HPA046601: AB_2679716, HPA077640: "	"unprognostic (9.70e-2)"	"unprognostic (5.60e-2)"	"unprognostic (2.55e-1)"	"unprognostic (1.19e-3)"	"unprognostic (3.79e-3)"	"unprognostic (1.59e-2)"			"unprognostic (7.13e-2)"	"unprognostic (2.32e-2)"	"unprognostic (4.19e-1)"	"unprognostic (3.52e-1)"				"unprognostic (3.29e-1)"	"unprognostic (8.16e-2)"	"unprognostic (9.35e-2)"	"unprognostic (1.31e-1)"			"unprognostic (9.96e-2)"	"unprognostic (1.30e-1)"	"unprognostic (3.79e-2)"	"unprognostic (9.05e-2)"	"unprognostic (7.19e-2)"	"unprognostic (2.46e-1)"	"unprognostic (2.56e-1)"	"unprognostic (2.41e-1)"	"unprognostic (1.98e-2)"	
CD300LD	"CD300D, CMRF35A4"	ENSG00000204345	"CD300 molecule like family member d"	Q6UXZ3	17	74579365-74592283	"CD markers, Predicted membrane proteins"	Immunity	Receptor		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	6	"neutrophil: 5.1"	"Lineage enriched"	"Detected in single"	6	"granulocytes: 5.1"	"Not detected"	"Not detected"			"Testis - Late spermatids"									HPA027756	Uncertain						NA	NA			"Cluster 35: Neutrophils - Protein binding"		"Cluster 48: Non-specific - Mixed function"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 63: Late spermatids - Spermatogenesis"	2			"HPA027756: AB_10601097"						"unprognostic (1.18e-1)"																				"unprognostic (1.76e-1)"					
CFAP58	"bA554P13.1, C10orf80, CCDC147, FLJ35908"	ENSG00000120051	"Cilia and flagella associated protein 58"	Q5T655	10	104353833-104455102	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Cilium biogenesis/degradation"		"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"fallopian tube: 8.2;testis: 13.0"	"Cell type enhanced"	"Detected in some"		"Ciliated cells: 33.2;Early spermatids: 90.5;Late spermatids: 56.2;Oocytes: 21.3;Spermatocytes: 30.3"	"Cell type enriched"	"Detected in many"	15	"ependymal cell: 221.9"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Immune cell enriched"	"Detected in single"	6	"neutrophil: 2.1"	"Lineage enriched"	"Detected in single"	21	"granulocytes: 2.1"	"Low cancer specificity"	"Detected in some"			"Kidney - Endothelial cells, Lung - Respiratory ciliated cells, Testis - Early spermatids"	"Not detected"	"Not detected"			"Region enhanced"	"Detected in single"		"midbrain: 2.6"	"HPA036555, HPA071938"	Approved		Supported	"Calyx,Principal piece"			NA	NA				"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 46: Brainstem - Mixed function"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 42: Ciliated cells - Cilium assembly"	5	"Principal piece"	Calyx	"HPA036555: AB_10673622, HPA071938: "								"unprognostic (2.38e-1)"																							
CFLAR	"c-FLIP, CASH, CASP8AP1, Casper, cFLIP, CLARP, FLAME, FLIP, I-FLICE, MRIT"	ENSG00000003402	"CASP8 and FADD like apoptosis regulator"	O15519	2	201116154-201176687	"Cancer-related genes, Enzymes, Predicted intracellular proteins"	"Apoptosis, Host-virus interaction"		"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Langerhans cells: 698.3;monocytes: 808.7"	"Cell type enhanced"	"Detected in all"		"endothelial cell: 507.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in all"	4	"neutrophil: 394.0"	"Lineage enriched"	"Detected in all"	6	"granulocytes: 394.0"	"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA019044, CAB022157, CAB025216"	Uncertain		Supported	"Nucleoplasm,Nuclear bodies,Plasma membrane,Cytosol"			NA	Yes			"Cluster 35: Neutrophils - Protein binding"	"Cluster 56: Non-specific - Unknown function"	"Cluster 25: Non-specific - Transcription"	"Cluster 55: Lymphoma - Immune response"	"Cluster 29: Monocytes - Innate immune response"	33	"Nucleoplasm, Plasma membrane, Cytosol"	"Nuclear bodies"	"CAB022157: , CAB025216: , HPA019044: AB_10696204"	"unprognostic (7.43e-2)"	"unprognostic (3.75e-1)"	"potential prognostic favorable (2.39e-4)"	"unprognostic (2.25e-2)"	"unprognostic (2.73e-1)"	"unprognostic (7.45e-2)"	"unprognostic (5.78e-2)"	"unprognostic (9.01e-2)"	"unprognostic (2.44e-2)"	"unprognostic (8.71e-3)"	"potential prognostic favorable (9.32e-4)"	"unprognostic (1.47e-3)"	"unprognostic (2.71e-1)"	"unprognostic (2.21e-2)"	"unprognostic (1.70e-1)"	"unprognostic (9.02e-2)"	"unprognostic (1.12e-2)"	"unprognostic (2.94e-3)"	"unprognostic (1.70e-1)"	"unprognostic (1.62e-1)"	"unprognostic (7.84e-2)"	"unprognostic (3.92e-2)"	"unprognostic (1.38e-3)"	"unprognostic (6.65e-2)"	"unprognostic (6.20e-3)"	"unprognostic (1.26e-2)"	"unprognostic (2.10e-1)"	"unprognostic (2.53e-1)"	"unprognostic (1.45e-1)"	"unprognostic (1.69e-1)"	"unprognostic (8.77e-2)"
CHI3L1	"GP39, YK-40, YKL40"	ENSG00000133048	"Chitinase 3 like 1"	P36222	1	203178931-203186704	"Cancer-related genes, Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Apoptosis, Inflammatory response"	Antimicrobial	"Asthma, Cancer-related genes, Schizophrenia"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"choroid plexus: 358.0;liver: 436.6"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 2: 124.1;Basal respiratory cells: 92.1;Ductal cells: 96.0;Hofbauer cells: 281.4;Mesothelial cells: 205.9"	"Cell type enhanced"	"Detected in some"		"astrocyte: 49.0;central nervous system macrophage: 13.5"	"Cancer enriched"	"Detected in all"	10	"Glioblastoma Multiforme (TCGA): 4051.3"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	494	"neutrophil: 472.1"	"Lineage enriched"	"Detected in single"	494	"granulocytes: 472.1"	"Group enriched"	"Detected in many"	4	"Bile duct cancer: 271.9;Brain cancer: 202.6"	"Kidney - Podocytes, Minor Salivary Gland - Minor salivary glandular cells, Skin - Sebaceous gland cells"	"Low region specificity"	"Detected in all"			"Region enriched"	"Detected in many"	6	"olfactory bulb: 28.3"	HPA077365			Approved	"Golgi apparatus,Vesicles"	"Secreted to blood"	Defense	NA	NA	25100000	110000000	"Cluster 4: Neutrophils - Degranulation"	"Cluster 60: Choroid plexus - Transmembrane transport"	"Cluster 12: Non-specific - Vasculature"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 72: Alveolar cells - Lung function"	5	"Golgi apparatus"	Vesicles	"HPA077365: "	"unprognostic (2.87e-2)"	"unprognostic (2.59e-3)"	"unprognostic (6.10e-2)"	"unprognostic (7.78e-2)"	"unprognostic (1.20e-1)"	"unprognostic (3.83e-1)"	"unprognostic (8.12e-3)"	"unprognostic (1.51e-3)"	"unprognostic (1.46e-1)"	"unprognostic (1.49e-2)"	"unprognostic (1.02e-1)"	"unprognostic (1.88e-2)"	"unprognostic (1.40e-1)"	"unprognostic (2.86e-1)"	"unprognostic (5.08e-2)"	"unprognostic (3.77e-2)"	"unprognostic (2.48e-1)"	"unprognostic (8.72e-3)"	"unprognostic (1.43e-1)"	"unprognostic (2.29e-1)"	"unprognostic (2.37e-1)"	"unprognostic (5.74e-2)"	"unprognostic (1.62e-3)"	"unprognostic (8.24e-2)"	"unprognostic (2.82e-1)"	"unprognostic (8.47e-2)"	"unprognostic (1.01e-3)"	"unprognostic (2.15e-2)"	"unprognostic (3.75e-2)"	"unprognostic (1.29e-2)"	"unprognostic (6.09e-2)"
CNTNAP3	"CASPR3, CNTNAP3A, FLJ14195, KIAA1714"	ENSG00000106714	"Contactin associated protein family member 3"	Q9BZ76	9	39064710-39288315	"Predicted intracellular proteins, Predicted membrane proteins"	"Cell adhesion"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enriched"	"Detected in many"	4	"Inhibitory neurons: 99.5"	"Cell type enhanced"	"Detected in many"		"MGE interneuron: 128.6"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	18	"neutrophil: 7.4"	"Lineage enriched"	"Detected in single"	75	"granulocytes: 7.4"	"Low cancer specificity"	"Detected in many"			"Skin - Keratinocyte (other)"									HPA047731	Uncertain				"Intracellular and membrane"	"Cell adhesion"	NA	NA			"Cluster 4: Neutrophils - Degranulation"	"Cluster 27: Squamous epithelium - Keratinization"	"Cluster 33: Neurons - Mixed function"	"Cluster 69: Skin cancer - ECM organization"	"Cluster 8: Neurons - Neuronal signaling"				"HPA047731: AB_2680137"	"potential prognostic unfavorable (3.72e-4)"		"unprognostic (3.72e-1)"	"unprognostic (8.61e-3)"			"unprognostic (1.81e-1)"	"unprognostic (1.03e-1)"	"unprognostic (7.36e-3)"			"unprognostic (1.80e-1)"	"unprognostic (2.79e-1)"					"unprognostic (2.69e-1)"	"unprognostic (3.55e-2)"			"unprognostic (1.08e-1)"	"unprognostic (1.39e-2)"	"unprognostic (2.35e-1)"					"unprognostic (8.46e-2)"		
CNTNAP3B		ENSG00000154529	"Contactin associated protein family member 3B"	Q96NU0	9	41890314-42129510	"Predicted intracellular proteins, Predicted membrane proteins"	"Cell adhesion"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Adipocytes: 61.5;Endothelial cells: 37.4;Excitatory neurons: 33.4;Inhibitory neurons: 156.1;Lymphatic endothelial cells: 59.4"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	8	"neutrophil: 3.5"	"Lineage enriched"	"Detected in single"	35	"granulocytes: 3.5"	"Low cancer specificity"	"Detected in many"												HPA047731	Uncertain						NA	NA			"Cluster 21: Neutrophils - Unknown function"	"Cluster 60: Choroid plexus - Transmembrane transport"	"Cluster 33: Neurons - Mixed function"	"Cluster 69: Skin cancer - ECM organization"	"Cluster 8: Neurons - Neuronal signaling"				"HPA047731: AB_2680137"	"potential prognostic unfavorable (6.93e-4)"	"unprognostic (2.52e-2)"		"unprognostic (1.07e-3)"		"unprognostic (8.77e-2)"	"unprognostic (6.67e-2)"	"unprognostic (2.21e-2)"	"unprognostic (2.44e-2)"		"unprognostic (6.73e-2)"	"unprognostic (1.80e-2)"	"unprognostic (1.36e-1)"	"unprognostic (1.31e-2)"		"unprognostic (5.98e-3)"	"unprognostic (2.19e-1)"	"unprognostic (3.36e-2)"	"unprognostic (1.82e-2)"			"unprognostic (3.88e-2)"	"unprognostic (2.01e-2)"	"unprognostic (1.98e-1)"		"unprognostic (4.97e-2)"	"unprognostic (1.32e-1)"	"unprognostic (4.48e-3)"	"unprognostic (8.28e-2)"		"unprognostic (4.20e-2)"
CREB5	"CRE-BPA, H_GS165L15.1"	ENSG00000146592	"CAMP responsive element binding protein 5"	Q02930	7	28299321-28825894	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Adipocytes: 151.8;Langerhans cells: 180.4;Oligodendrocyte precursor cells: 215.5;Oligodendrocytes: 684.0"	"Cell type enhanced"	"Detected in all"		"committed oligodendrocyte precursor: 414.2;oligodendrocyte: 998.9"	"Cancer enhanced"	"Detected in many"		"Kidney Renal Papillary Cell Carcinoma (TCGA): 25.0"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in many"	7	"neutrophil: 199.9"	"Lineage enriched"	"Detected in many"	7	"granulocytes: 199.9"	"Low cancer specificity"	"Detected in many"			"Heart muscle - Fibroblasts, Pancreas - Ductal cells, Skin - Outer root sheath cells, Spleen - Neutrophils"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA050020, HPA061622"			Approved	"Nucleoplasm,Nuclear bodies,Vesicles,Plasma membrane"			NA	Yes			"Cluster 21: Neutrophils - Unknown function"	"Cluster 34: Non-specific - Mixed function"	"Cluster 11: White matter - Signal transduction"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 51: Oligodendrocytes - Unknown function"	11	Nucleoplasm	"Nuclear bodies, Vesicles, Plasma membrane"	"HPA050020: AB_2680993, HPA061622: AB_2684569"	"unprognostic (3.23e-2)"	"unprognostic (3.08e-2)"	"unprognostic (1.84e-1)"	"unprognostic (1.55e-2)"	"unprognostic (7.05e-2)"	"unprognostic (2.20e-1)"	"unprognostic (1.47e-1)"	"unprognostic (7.16e-2)"	"unprognostic (7.66e-2)"	"unprognostic (2.85e-1)"	"unprognostic (6.00e-3)"	"unprognostic (2.14e-1)"	"unprognostic (2.69e-1)"		"unprognostic (2.82e-1)"	"unprognostic (3.13e-2)"	"unprognostic (2.51e-3)"	"unprognostic (2.50e-2)"	"unprognostic (5.45e-2)"	"unprognostic (1.95e-1)"	"unprognostic (1.57e-2)"	"unprognostic (6.37e-2)"	"unprognostic (2.09e-3)"		"unprognostic (5.37e-2)"	"unprognostic (1.76e-2)"	"unprognostic (3.36e-1)"	"unprognostic (4.77e-2)"	"unprognostic (2.81e-1)"	"unprognostic (1.54e-1)"	"unprognostic (2.91e-2)"
